   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 :0(__subclasses__)
   102362    0.140    0.000    0.140    0.000 :0(abs)
       14    0.000    0.000    0.000    0.000 :0(acquire)
       38    0.000    0.000    0.000    0.000 :0(add)
        2    0.000    0.000    0.000    0.000 :0(all)
        2    0.000    0.000    0.000    0.000 :0(allocate_lock)
        9    0.000    0.000    0.000    0.000 :0(any)
  4108327    9.644    0.000    9.644    0.000 :0(append)
        5    0.000    0.000    0.000    0.000 :0(arange)
        2    0.000    0.000    0.000    0.000 :0(argsort)
     2036   13.908    0.007   13.908    0.007 :0(array)
       11    0.000    0.000    0.000    0.000 :0(astype)
        9    0.000    0.000    0.000    0.000 :0(bincount)
       22    0.000    0.000    0.000    0.000 :0(can_cast)
        1    0.000    0.000    0.000    0.000 :0(ceil)
        4    0.000    0.000    0.000    0.000 :0(compile)
   953000   35.340    0.000   35.340    0.000 :0(concatenate)
        2    0.000    0.000    0.000    0.000 :0(coo_tocsr)
       26    0.000    0.000    0.000    0.000 :0(copy)
        6    0.000    0.000    0.000    0.000 :0(copyto)
        5    0.000    0.000    0.000    0.000 :0(csc_tocsr)
       12    0.000    0.000    0.000    0.000 :0(csr_has_sorted_indices)
        5    0.000    0.000    0.000    0.000 :0(csr_matmat_pass1)
        5    0.000    0.000    0.000    0.000 :0(csr_matmat_pass2)
        1    0.000    0.000    0.000    0.000 :0(csr_matvec)
       10    0.008    0.001    0.008    0.001 :0(csr_sort_indices)
        2    0.000    0.000    0.000    0.000 :0(csr_sum_duplicates)
        5    0.000    0.000    0.000    0.000 :0(cumsum)
       14    0.000    0.000    0.000    0.000 :0(dumps)
       67    0.000    0.000    0.000    0.000 :0(empty)
    23736    0.056    0.000    0.056    0.000 :0(end)
       10    0.000    0.000    0.000    0.000 :0(endswith)
       10    0.000    0.000    0.000    0.000 :0(expandptr)
       13    0.004    0.000    0.004    0.000 :0(extend)
    99614    0.908    0.000    0.908    0.000 :0(findall)
  1905937   34.224    0.000   34.224    0.000 :0(flatten)
        4    0.000    0.000    0.000    0.000 :0(from_iterable)
       20    0.000    0.000    0.000    0.000 :0(frombuffer)
 13961192   33.944    0.000   33.944    0.000 :0(get)
        5    0.000    0.000    0.000    0.000 :0(get_csr_submatrix)
     4092    0.004    0.000    0.004    0.000 :0(getattr)
       12    0.000    0.000    0.000    0.000 :0(geterrobj)
 13548688   32.348    0.000   32.348    0.000 :0(groups)
      232    0.000    0.000    0.000    0.000 :0(hasattr)
       17    0.000    0.000    0.000    0.000 :0(hash)
   415315    0.988    0.000    0.988    0.000 :0(isinstance)
        2    0.000    0.000    0.000    0.000 :0(islower)
    72/48    0.000    0.000    0.000    0.000 :0(issubclass)
       20    0.000    0.000    0.000    0.000 :0(item)
        4    0.000    0.000    0.000    0.000 :0(items)
     3922    0.000    0.000    0.000    0.000 :0(iter)
     3921    0.008    0.000    0.008    0.000 :0(iteritems)
     1448    0.008    0.000    0.008    0.000 :0(join)
     5482    0.012    0.000    0.012    0.000 :0(keys)
1745430/1745408    4.720    0.000    4.720    0.000 :0(len)
      906    2.420    0.003    2.420    0.003 :0(listdir)
    49811    0.744    0.000    0.744    0.000 :0(lower)
       10    0.000    0.000    0.000    0.000 :0(lstat)
